<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.09.14	9.980	10.100	9.910	9.920	9257	189430	5
2018.09.17	9.980	10.030	9.770	9.780	10019	204445	5
2018.09.18	9.800	9.870	9.720	9.800	7794	194910	5
2018.09.19	9.860	9.860	9.650	9.730	8025	223690	5
2018.09.20	9.700	9.820	9.650	9.760	11041	283160	5
2018.09.21	9.720	9.730	9.580	9.620	8311	177760	5
2018.09.24	9.660	9.690	9.600	9.670	4573	107210	5
2018.09.25	9.780	9.850	9.600	9.660	9036	254510	5
2018.09.26	9.650	9.680	9.540	9.570	6597	170770	5
2018.09.27	9.570	9.600	9.450	9.460	8098	237070	5
2018.09.28	9.520	9.600	9.470	9.580	7273	160315	5
2018.10.01	9.570	9.630	9.490	9.520	6954	192335	5
2018.10.02	9.400	9.430	9.320	9.390	10984	286050	5
2018.10.03	9.250	9.370	9.190	9.330	14520	388090	5
2018.10.04	9.360	9.430	9.290	9.310	11360	333520	5
2018.10.05	9.250	9.420	9.210	9.350	12597	308085	5
2018.10.08	9.070	9.090	8.850	8.900	16083	450285	5
2018.10.09	8.930	8.950	8.560	8.660	15060	397360	5
2018.10.10	8.720	8.810	8.660	8.810	9809	291380	5
2018.10.11	8.680	8.760	8.620	8.670	11328	300620	5
2018.10.15	8.670	8.690	8.520	8.540	6486	170265	5
2018.10.16	8.500	8.530	8.380	8.450	10496	267580	5
2018.10.17	8.490	8.540	8.400	8.420	14475	302420	5
2018.10.18	8.440	8.600	8.360	8.560	11883	318745	5
2018.10.19	8.450	8.580	8.430	8.490	6637	153360	5
2018.10.22	8.440	8.500	8.310	8.350	14868	293185	5
2018.10.23	8.380	8.410	8.280	8.300	13219	261280	5
2018.10.24	8.310	8.430	8.270	8.370	8420	278470	5
2018.10.25	8.340	8.420	8.330	8.400	6740	205360	5
2018.10.26	8.440	8.450	8.220	8.250	9921	330310	5
2018.10.29	8.080	8.300	8.030	8.290	12128	347375	5
2018.10.30	8.190	8.290	8.110	8.130	7443	223035	5
2018.10.31	8.100	8.170	8.070	8.130	8436	304455	5
2018.11.01	8.090	8.150	8.080	8.150	6756	184665	5
2018.11.05	8.140	8.150	8.020	8.080	6622	188770	5
