<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2018.08.16;78065;78380;76990;77580;948028;2977570;5
2018.08.17;77105;77110;76205;76495;755753;2374842;5
2018.08.20;76810;77170;76125;77040;807976;2689973;5
2018.08.21;77300;77320;75310;75310;864059;2841710;5
2018.08.22;75500;77700;74840;77700;876404;3092507;5
2018.08.23;77410;77830;75950;76300;880874;3013745;5
2018.08.24;76820;77270;76190;77000;674731;2278564;5
2018.08.27;77300;78585;77040;78130;625320;2124101;5
2018.08.28;78355;78565;77580;78450;712620;2489562;5
2018.08.29;78050;79370;77770;79195;651251;2286366;5
2018.08.30;78700;78805;76470;76470;828295;2519945;5
2018.08.31;76605;77660;76345;77150;815240;2822128;5
2018.09.03;77195;77195;76070;76610;463032;1630086;5
2018.09.04;76105;76490;74925;74945;780085;2561086;5
2018.09.05;74660;75800;74435;75200;760363;2582997;5
2018.09.06;75430;78550;75290;77410;783441;2735582;5
2018.09.10;77950;78115;76430;76920;800044;2751239;5
2018.09.11;75720;75870;74580;75255;775990;2485130;5
2018.09.12;75800;76035;74780;75230;745146;2613025;5
2018.09.13;75890;76015;74760;74800;691895;2265313;5
2018.09.14;75110;76045;74705;75850;740371;2533109;5
2018.09.17;75460;77340;75100;77045;838183;2894423;5
2018.09.18;77500;78790;76800;78050;915425;3069194;5
2018.09.19;77635;79310;77450;78280;798292;2754348;5
2018.09.20;78435;79195;78010;78420;711146;2318308;5
2018.09.21;78800;80350;78545;79380;844863;2735097;5
2018.09.24;79075;79650;77950;78210;832013;2627136;5
2018.09.25;77100;79000;76910;79000;903873;2884339;5
2018.09.26;78880;79750;78480;78715;972438;3111809;5
2018.09.27;78585;80380;78535;79890;789977;2512058;5
2018.09.28;79495;80085;78940;79350;806474;2397654;5
2018.10.01;79515;79740;78210;79000;903204;3028086;5
2018.10.02;80035;82000;80000;81940;1002339;3250954;5
2018.10.03;83990;85570;82950;83790;1201748;3606884;5
2018.10.04;82810;83655;82015;83060;1061125;3422884;5
2018.10.05;84675;85055;82150;82780;975302;3021752;5
2018.10.08;86500;87990;85330;86275;1202921;3742572;5
2018.10.09;85720;86785;85475;85915;1127454;3407446;5
2018.10.10;85410;85685;83550;83550;1129501;3501606;5
2018.10.11;83970;84985;82605;83605;1299240;4068774;5
2018.10.15;84290;84540;83040;83040;1028432;3343609;5
2018.10.16;83800;86015;83610;85895;1011620;3354213;5
2018.10.17;86300;87000;85645;86500;1108292;3653555;5
2018.10.18;86200;86385;84285;84500;1038793;3470886;5
2018.10.19;85295;85680;84310;85095;1031990;3480218;5
2018.10.22;85900;86520;85495;86155;887210;2764510;5
2018.10.23;85195;86320;84605;86300;1103473;3517934;5
2018.10.24;86300;86470;83490;83710;1162614;4094979;5
2018.10.25;84240;85540;83880;84270;1095413;3801021;5
2018.10.26;83610;86810;83570;86600;1322979;4544121;5
2018.10.29;89450;90400;83300;83980;1652261;4877125;5
2018.10.30;84800;87830;84460;87555;1542586;4875102;5
2018.10.31;88500;88970;86780;87700;1321072;4277197;5
2018.11.01;88660;89670;87660;88470;1218729;4075686;5
2018.11.05;89060;90180;88875;89950;1130079;3803529;5
2018.11.06;89635;89935;88605;89160;1102478;3839161;5
2018.11.07;90220;90265;88000;88400;1179167;3930747;5
2018.11.08;88585;89190;86010;86030;1163419;3706999;5
2018.11.09;85630;86750;84415;86280;1246858;3827745;5
2018.11.12;85960;86720;85375;86080;1340477;3982276;5
2018.11.13;86400;86500;84430;85370;1433703;4574311;5
2018.11.14;85510;86300;84585;86300;1401656;4459534;5
2018.11.16;87000;89010;86465;88840;1295463;3813996;5
2018.11.19;88650;88675;87315;88200;1155401;3666274;5
2018.11.21;86995;87700;86565;87550;1183446;3626465;5
2018.11.22;87490;87995;87205;87700;733018;2448538;5
2018.11.23;87485;87585;86065;86340;1051039;3416035;5
2018.11.26;87200;87445;85075;85630;1285908;4254335;5
2018.11.27;85955;88295;85475;87970;1258986;4149939;5
2018.11.28;88000;89725;87355;89230;1291635;4233856;5
2018.11.29;88950;90150;88435;89730;1169445;3919077;5
2018.11.30;89295;90475;89150;89605;1120836;3718215;5
2018.12.03;91450;91825;89515;89770;1235371;4207447;5
2018.12.04;89895;90570;88095;88600;1332903;4562209;5
2018.12.05;88940;89280;88520;89110;918168;3103045;5
2018.12.06;87680;88975;87040;88940;1260674;4422413;5
2018.12.07;88950;90110;87895;88010;1344498;4529658;5
2018.12.10;88000;88360;85850;85850;1473607;4772362;5
2018.12.11;86485;87550;85510;86615;1386278;4642540;5
2018.12.12;87880;88830;87520;87950;1370022;4490869;5
2018.12.13;88150;88720;87635;88560;1159610;4094316;5
2018.12.14;87800;89045;87750;88005;1043996;3579172;5
2018.12.17;88210;88540;87005;87115;1190413;3873247;5
