<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.28	70810	72640	70670	72255	13175	79930	5
2018.06.29	72880	73475	72530	72855	12310	76490	5
2018.07.02	72400	73610	72170	73610	8109	47565	5
2018.07.03	73825	75015	73650	74100	12569	73900	5
2018.07.04	74105	75375	73795	75360	6381	40065	5
2018.07.05	75790	75810	74070	74820	12078	72300	5
2018.07.06	74600	75665	74310	75595	8924	53425	5
2018.07.10	75730	76190	74515	74515	9684	57375	5
2018.07.11	74280	75450	74215	74990	11575	69655	5
2018.07.12	75205	76500	75055	76500	11370	69660	5
2018.07.13	76335	77200	75810	77010	11525	73820	5
2018.07.16	76795	77270	76370	77185	11028	67600	5
2018.07.17	77060	78890	76760	78440	12854	79050	5
2018.07.18	78380	78760	77340	77390	11722	71035	5
2018.07.19	77295	78950	76100	78950	17489	115710	5
2018.07.20	79425	80335	78500	78610	17217	115865	5
2018.07.23	78635	78865	78020	78075	8161	50090	5
2018.07.24	79050	79785	78960	79330	12772	81625	5
2018.07.25	79315	80710	79155	80470	12466	77050	5
2018.07.26	80485	80675	79225	79775	12837	80600	5
2018.07.27	80190	80490	79610	80245	10139	62090	5
2018.07.30	80200	80690	79850	80390	8314	51870	5
2018.07.31	80300	80425	79130	79280	11737	73215	5
2018.08.01	79170	79890	78870	79480	10634	66880	5
2018.08.02	78700	80080	78540	79950	10021	61905	5
2018.08.03	80500	81935	80260	81535	16451	104175	5
2018.08.06	81675	82095	80985	81055	8145	59840	5
2018.08.07	81660	81885	79945	80680	15965	100465	5
2018.08.08	80550	80985	78810	78855	13461	85025	5
2018.08.09	79060	79470	78110	78680	13474	83770	5
2018.08.10	77990	78340	76015	76400	19952	127915	5
2018.08.13	76100	77910	75400	77830	18031	111815	5
2018.08.14	78140	78765	77610	78460	12420	83655	5
2018.08.15	78295	78520	77470	77525	16402	98230	5
2018.08.16	77950	78380	77000	77540	13463	83415	5
